,Argument,positive,neutral,negative
648,Credit Risk Management,9.0,2.0,14.0
649,CECL Adoption Impact,0.0,1.0,1.0
650,COVID-19 Response,0.0,1.0,0.0
651,Regulatory Capital,1.0,2.0,1.0
652,Capital Measures,1.0,2.0,0.0
653,Regulatory Compliance,19.0,11.0,10.0
654,Pandemic Impact,0.0,1.0,3.0
655,Market Exposure,0.0,2.0,6.0
656,Liquidity,7.0,4.0,2.0
657,Capital Management,7.0,2.0,5.0
658,Market Risk,0.0,5.0,12.0
659,Accounting Standards,0.0,1.0,0.0
660,Debt Reduction,20.0,0.0,1.0
661,Price Strategy,30.0,17.0,14.0
662,Revenue Rebound,3.0,0.0,0.0
663,Revenue Declines,0.0,0.0,19.0
664,Travel Demand,12.0,1.0,7.0
665,Uncertainties,0.0,0.0,1.0
666,Revenue Concentration,0.0,0.0,3.0
667,Mobile Device Monetization,0.0,0.0,4.0
668,Strength,7.0,0.0,0.0
669,Debt Management,10.0,2.0,14.0
670,Restructuring,8.0,0.0,2.0
671,Financial Targets,3.0,0.0,5.0
672,Activist Investor Influence,1.0,0.0,1.0
673,Shareholder Support,1.0,0.0,0.0
674,Value Unlocking,3.0,0.0,0.0
675,Asset Divestment,2.0,0.0,0.0
676,Flexibility,2.0,0.0,0.0
677,Regulatory Risk,0.0,2.0,33.0
678,Operational Risk,0.0,0.0,11.0
679,Production Shortfalls,0.0,0.0,6.0
680,Regulatory Challenges,1.0,0.0,5.0
681,Civil Unrest,0.0,0.0,6.0
682,Retail,5.0,0.0,2.0
683,Merchandising,8.0,0.0,0.0
684,Holiday Season,9.0,1.0,0.0
685,Scarcity Value,2.0,0.0,1.0
686,Traffic,7.0,2.0,1.0
687,Special Dividend,2.0,0.0,0.0
688,Membership Fee,2.0,0.0,0.0
689,Diluted Shares,0.0,4.0,2.0
690,Dividend Per Share,1.0,0.0,0.0
691,Return Data,1.0,0.0,0.0
692,Customer Trends,29.0,3.0,9.0
693,MBS Premium Amortization,0.0,0.0,2.0
694,Mortgage,2.0,1.0,3.0
695,Auto,2.0,0.0,2.0
696,Reserves,1.0,1.0,0.0
697,Industry Questions,0.0,1.0,0.0
698,NCO Increases,0.0,1.0,0.0
699,Loan Paydowns,0.0,1.0,1.0
700,Capital Markets Outlook,1.0,1.0,0.0
701,Mortgage Production,1.0,0.0,0.0
702,Net Charge-offs,0.0,0.0,1.0
703,Securities Gains,2.0,0.0,0.0
704,Core Expenses,1.0,0.0,1.0
705,Credit Provisions,1.0,0.0,3.0
706,Turnaround Strategy,1.0,0.0,0.0
707,EBAY Transition,0.0,0.0,1.0
708,Take Rate,0.0,1.0,0.0
709,User Growth,7.0,1.0,2.0
710,Foreign Exchange,1.0,0.0,9.0
711,Tax,0.0,1.0,2.0
712,Interest Rate Sensitivity,4.0,4.0,2.0
713,Unrealized Gains,1.0,0.0,0.0
714,Technology Investments,4.0,0.0,0.0
715,Wholesale Market Share,1.0,0.0,0.0
716,Economic Environment,1.0,0.0,0.0
717,Unemployment Rate,0.0,0.0,3.0
718,GDP Growth,1.0,0.0,0.0
719,Credit Losses,1.0,0.0,2.0
720,High-risk Segments,0.0,0.0,1.0
721,Commodities,4.0,1.0,13.0
722,Auto Loans,0.0,1.0,0.0
723,Tax Benefits,1.0,0.0,0.0
724,Affordable Housing Investments,0.0,1.0,0.0
725,Noninterest Income,0.0,0.0,1.0
726,Additional Investments,0.0,1.0,0.0
727,Antitrust Scrutiny,0.0,0.0,1.0
728,Ad Revenue,3.0,0.0,0.0
729,Ad ARPU,3.0,0.0,0.0
730,Ad Pricing,0.0,0.0,1.0
731,Ad Revenue Growth,1.0,0.0,0.0
732,Ad Impressions Growth,1.0,0.0,0.0
733,Price,0.0,0.0,1.0
734,Regulation,1.0,0.0,8.0
735,User Privacy,0.0,0.0,3.0
736,User Base,4.0,0.0,0.0
737,Advertiser Engagement,4.0,0.0,0.0
738,Operating Costs,1.0,1.0,0.0
739,Operating Performance,3.0,0.0,0.0
740,Macro Trends,1.0,0.0,1.0
741,Margin Deleverage,0.0,0.0,1.0
742,Revenue Performance,4.0,2.0,2.0
743,Network Performance,2.0,0.0,0.0
744,5G Roll-out,0.0,1.0,0.0
745,Spectrum Procurement,0.0,0.0,1.0
746,Credit Ratings,0.0,1.0,0.0
747,Product Cycle,5.0,0.0,0.0
748,Store Closures,0.0,0.0,3.0
749,Merch Margin,0.0,0.0,1.0
750,SG&A Expenses,2.0,1.0,13.0
751,Buyback Program,3.0,0.0,0.0
752,EPS Accretion,3.0,0.0,0.0
753,FCF Generation,3.0,0.0,0.0
754,Treatment Development,26.0,3.0,1.0
755,Integration,8.0,0.0,4.0
756,APIs,4.0,0.0,0.0
757,Workflow Efficiency,1.0,0.0,0.0
758,Sales Efficiency,1.0,0.0,0.0
759,Digital Sales Growth,5.0,0.0,0.0
760,Web Traffic,1.0,0.0,0.0
761,Black Friday Performance,1.0,0.0,0.0
762,Store Traffic Improvement,1.0,0.0,0.0
763,Seasonal Store Strategy,1.0,0.0,0.0
764,Gross Margin Expectation,1.0,0.0,0.0
765,Debit Growth,1.0,0.0,1.0
766,eCommerce,1.0,0.0,0.0
767,Payment Volume,1.0,0.0,2.0
768,Credit Growth,0.0,0.0,1.0
769,Processed Transactions,1.0,0.0,1.0
770,Cross-border Transactions,6.0,0.0,0.0
771,eCommerce Spend,1.0,0.0,0.0
772,Margins Performance,2.0,0.0,0.0
773,Ground Business Performance,0.0,1.0,0.0
774,Ground Business Outlook,1.0,0.0,0.0
775,B2B Activity Impact on Margins,1.0,0.0,0.0
776,Financial Flexibility,2.0,0.0,2.0
777,Credit Rating,0.0,0.0,1.0
778,Subscriber Loss,0.0,0.0,1.0
779,Deleveraging,5.0,0.0,0.0
780,Growth Platforms,2.0,0.0,0.0
781,Subscriber Base,0.0,1.0,0.0
782,Strategic Partners,1.0,0.0,0.0
783,Business Management,1.0,1.0,0.0
784,Provision for Credit Losses,1.0,0.0,1.0
785,Net Reserve Releases,2.0,0.0,0.0
786,NCOs,1.0,0.0,1.0
787,ROE Targets,0.0,1.0,0.0
788,Stimulus,5.0,0.0,0.0
789,Loan Loss Reserve Release,1.0,0.0,0.0
790,Equity Investments,5.0,0.0,1.0
791,Credit Adjustments,1.0,0.0,0.0
792,Credit Spread Tightening,1.0,0.0,0.0
793,Consumer & Business Banking,0.0,0.0,1.0
794,Principal Transaction,0.0,0.0,1.0
795,Mortgage Fees,0.0,0.0,1.0
796,Reserve Releases,4.0,1.0,0.0
797,Macro-economic Scenarios,1.0,0.0,0.0
798,Fees,5.0,2.0,0.0
799,Margin Compression,0.0,0.0,1.0
800,Regulatory,4.0,4.0,16.0
801,Manufacturing,0.0,0.0,2.0
802,Total Loss Absorbing Capacity,0.0,1.0,0.0
803,Liquidity Coverage Ratio,0.0,1.0,0.0
804,Customer Demand,1.0,0.0,1.0
805,Prepayments,0.0,0.0,1.0
806,Average Deposits,0.0,0.0,1.0
807,Brokerage Advisory,1.0,0.0,0.0
808,Commissions and Fees,1.0,0.0,0.0
809,Operating Leases,0.0,0.0,1.0
810,Private Banking,1.0,0.0,1.0
811,Digital Banking,2.0,0.0,0.0
812,Earnings Visibility,3.0,0.0,0.0
813,Operational Performance,5.0,0.0,0.0
814,Network Improvement,1.0,0.0,0.0
815,Industrial Recovery,1.0,0.0,0.0
816,52 Week Avg Daily Volume,0.0,2.0,0.0
817,BVPS,2.0,0.0,0.0
818,NYSE,0.0,1.0,0.0
819,52 Week range,1.0,1.0,0.0
820,Macro Uncertainty,0.0,0.0,1.0
821,Net Debt/EBITDA,0.0,1.0,0.0
822,Net Debt/Equity,0.0,1.0,0.0
823,Vaccines Approval,2.0,0.0,0.0
824,Strategic Shift,1.0,0.0,0.0
825,Digital Payments,10.0,0.0,0.0
826,EBIT Margin Growth,1.0,0.0,0.0
827,Depreciation Expense,0.0,0.0,1.0
828,Healthcare Innovation,2.0,0.0,0.0
829,Remote Monitoring,2.0,0.0,0.0
830,Telemedicine,1.0,0.0,0.0
831,Regulatory Impact,4.0,0.0,6.0
832,ASP Pressure,0.0,0.0,1.0
833,Tough Comparisons,0.0,0.0,2.0
834,Lockdown Impacts,0.0,0.0,1.0
835,Pharma Sales Growth,1.0,0.0,0.0
836,Medical Device Sales,0.0,0.0,1.0
837,Consumer Sales,1.0,0.0,0.0
838,Mobile Payments,1.0,0.0,1.0
839,Global Travel,1.0,0.0,0.0
840,Ad Targeting,0.0,1.0,3.0
841,Engagement,1.0,0.0,2.0
842,Engineering Talent,1.0,0.0,4.0
843,Regulatory Submissions,1.0,0.0,0.0
844,Emissions Reduction Targets,1.0,0.0,0.0
845,ROA,0.0,1.0,0.0
846,Market Size,4.0,1.0,2.0
847,Payment Services,4.0,0.0,0.0
848,Mobile Wallets,1.0,0.0,0.0
849,Earnings Catalysts,6.0,0.0,0.0
850,EPS Expectations,0.0,4.0,0.0
851,Organizational Design,1.0,0.0,0.0
852,Supplier Relations,1.0,0.0,0.0
853,Drilling Operations,3.0,0.0,0.0
854,Stock Recommendation,22.0,8.0,8.0
855,GDP Expectations,1.0,0.0,0.0
856,Branding,1.0,0.0,0.0
857,Gross Margin Return on Investment,1.0,0.0,1.0
858,Scalability,1.0,0.0,0.0
859,Value Creation,4.0,0.0,0.0
860,Customer Behavior,11.0,2.0,3.0
861,Digital Acceleration,1.0,0.0,0.0
862,Execution Risks,0.0,0.0,4.0
863,Competitive Marketplace,0.0,0.0,1.0
864,Residential Broadband Market,0.0,0.0,1.0
865,Technology,36.0,5.0,3.0
866,Depreciation,0.0,1.0,1.0
867,Margins Improvement,2.0,0.0,0.0
868,Vendor Relations,1.0,0.0,0.0
869,Resource Allocation,2.0,0.0,0.0
870,Retail Initiatives,0.0,1.0,0.0
871,Demographics,1.0,0.0,0.0
872,Market Share Loss,0.0,0.0,3.0
873,Management Transition,0.0,2.0,3.0
874,Company Stability,1.0,0.0,0.0
875,Business Mix,1.0,0.0,0.0
876,Securities Servicing,0.0,1.0,0.0
877,Capital,2.0,2.0,0.0
878,NII Compression,0.0,0.0,1.0
879,Inflation Impact,0.0,0.0,2.0
880,Organic Sales Growth,2.0,0.0,0.0
881,Core EPS,0.0,1.0,0.0
882,Adjusted EPS Stability,0.0,1.0,0.0
883,Capex Guidance,0.0,4.0,2.0
884,Dividend Payout Ratio,1.0,2.0,0.0
885,Net Leverage,1.0,1.0,0.0
886,Spectrum Acquisitions,2.0,0.0,0.0
887,Subscription Revenue,4.0,0.0,1.0
888,Content Revenue,1.0,0.0,0.0
889,Advertising Revenue,5.0,0.0,0.0
890,Programming Expenses,0.0,0.0,1.0
891,Adjusted EBITDA,0.0,2.0,1.0
892,Investment Thesis,1.0,2.0,0.0
893,EV Strategy,3.0,1.0,0.0
894,Connected Car Strategy,1.0,0.0,0.0
895,Supply Chain Impact,0.0,0.0,1.0
896,Automotive Industry,0.0,0.0,2.0
897,Supply Chain Management,8.0,0.0,0.0
898,Production Guidance,2.0,2.0,4.0
899,Political Environment,1.0,1.0,0.0
900,Earnings Volatility,0.0,0.0,1.0
901,Interest Rate Impact,0.0,1.0,0.0
902,Data Monetization,1.0,0.0,0.0
903,Recovery Story,2.0,0.0,0.0
904,Global Cyclical Recovery,1.0,0.0,0.0
905,Enterprise Bookings,1.0,0.0,0.0
906,Accounts Receivable,1.0,0.0,0.0
907,Operating Cash Flow,2.0,0.0,3.0
908,Relative Valuation,0.0,2.0,0.0
909,Historical Relative Valuation,0.0,1.0,0.0
910,Earnings Confidence,1.0,0.0,0.0
911,Inflationary Pressures,0.0,1.0,1.0
912,Hedge Book,1.0,0.0,0.0
913,Price/Mix Generation,4.0,0.0,0.0
914,Profit Margin Expectation,1.0,0.0,0.0
915,Operating Margins,2.0,0.0,3.0
916,Savings Program,0.0,1.0,0.0
917,Equity Income,1.0,0.0,1.0
918,Operating Efficiency,3.0,1.0,0.0
919,Infrastructure Development,2.0,0.0,0.0
920,Market Positioning,3.0,0.0,0.0
921,Digital Advertising,5.0,0.0,1.0
922,Average P/E,0.0,1.0,0.0
923,EV/EBITDA,1.0,3.0,0.0
924,Equity FCF yield,0.0,1.0,0.0
925,P/Sales,0.0,1.0,0.0
926,Dividend yield,0.0,1.0,0.0
927,Margins Expansion,22.0,3.0,5.0
928,Margins Expansion Expectation,1.0,0.0,0.0
929,International Performance,2.0,0.0,2.0
930,Rig Count,0.0,1.0,1.0
931,E-commerce Performance,2.0,0.0,2.0
932,Net New Active Accounts,2.0,0.0,0.0
933,Total Payment Volume Growth,1.0,0.0,0.0
934,Earnings Per Share Outlook,0.0,1.0,0.0
935,Digital/Mobile Payments,3.0,0.0,0.0
936,Cross-border Recovery,3.0,0.0,0.0
937,52 Wk Avg Daily Volume,1.0,1.0,0.0
938,Return on Equity,1.0,0.0,0.0
939,New Business Opportunities,2.0,0.0,0.0
940,EV Updates,1.0,0.0,0.0
941,Consumer Demand,1.0,0.0,1.0
942,Profit Margins,1.0,0.0,1.0
943,Auto Opportunity,1.0,0.0,0.0
944,Secular Growth,1.0,0.0,0.0
945,Cryptocurrency Impact,0.0,1.0,0.0
946,GPU Market,1.0,1.0,0.0
947,Earnings Call Focus,0.0,2.0,0.0
948,GPU Supply Outlook,0.0,1.0,0.0
949,GPU Pricing,0.0,1.0,0.0
950,Crypto Demand Impact,0.0,1.0,0.0
951,GPU Supply Shortages,0.0,1.0,0.0
952,Gaming Demand,1.0,0.0,0.0
953,Crypto Volatility,0.0,1.0,0.0
954,Personalization,3.0,0.0,0.0
955,Labor Management,0.0,0.0,3.0
956,Wage Management,0.0,1.0,1.0
957,Sales Synergies,1.0,0.0,0.0
958,CRM,1.0,0.0,0.0
959,EBITDA Guidance,0.0,1.0,0.0
960,Street EBITDA Estimates,0.0,1.0,0.0
961,Investor Day Expectations,0.0,1.0,0.0
962,EV Product Line,0.0,1.0,0.0
963,Update on Cruise and Connected Services,0.0,1.0,0.0
964,Ancillary Growth Businesses,0.0,1.0,0.0
965,Current BVPS,3.0,1.0,0.0
966,General and Administrative,0.0,0.0,1.0
967,Depreciation and Amortization,0.0,1.0,0.0
968,Gross Margin Expansion,2.0,1.0,1.0
969,Logistics Costs,0.0,0.0,2.0
970,SG&A Growth,0.0,0.0,1.0
971,EBIT Margins,0.0,0.0,1.0
972,Gross Profit Margin,2.0,0.0,1.0
973,"Selling, General, and Administrative Expenses (SG&A)",0.0,0.0,1.0
974,Customer Growth,12.0,0.0,1.0
975,Tax Settlement,0.0,1.0,0.0
976,Viral Variants,1.0,0.0,1.0
977,Debt,0.0,1.0,0.0
978,Equity Value,3.0,0.0,0.0
979,ARPA Outlook,1.0,0.0,0.0
980,Shareholder Meetings,0.0,0.0,1.0
981,Employee Compensation,1.0,2.0,1.0
982,Transformation,5.0,0.0,0.0
983,Provisions,0.0,0.0,1.0
984,Asset Sales,8.0,0.0,3.0
985,Buybacks,1.0,0.0,0.0
986,Earnings Sensitivities,0.0,1.0,0.0
987,Market Concerns,1.0,0.0,4.0
988,Costs,3.0,7.0,14.0
989,Digital Dividend,0.0,1.0,0.0
990,Share Gains,1.0,0.0,0.0
991,Commercial Real Estate,1.0,0.0,0.0
992,Credit Card Growth,1.0,0.0,0.0
993,Expenses Management,4.0,2.0,0.0
994,Fees Income,1.0,0.0,1.0
995,Equities Performance,1.0,0.0,0.0
996,Fixed Income Performance,0.0,0.0,1.0
997,Investment Banking Performance,1.0,0.0,0.0
998,Asset Management Growth,1.0,0.0,0.0
999,Store Traffic,1.0,0.0,0.0
1000,Promotional Efficiency,2.0,0.0,0.0
1001,Working Capital,5.0,1.0,2.0
1002,Regulatory Concerns,0.0,0.0,3.0
1003,Securities Management,0.0,1.0,1.0
1004,Brokerage Fees,0.0,0.0,1.0
1005,Loan Losses,1.0,0.0,1.0
1006,Non-performing Assets (NPAs),1.0,0.0,1.0
1007,Reputational Risk,0.0,0.0,2.0
1008,Legal/Regulatory Risk,0.0,0.0,3.0
1009,Bankruptcies,0.0,0.0,2.0
1010,Promotional Activity,1.0,1.0,0.0
1011,Postpaid Phone Adds,1.0,0.0,0.0
1012,Net Phone Add Expectations,1.0,0.0,0.0
1013,Promotional Stance,0.0,0.0,1.0
1014,Trade-in Values,0.0,0.0,1.0
1015,Moving Pieces/Risks,0.0,0.0,1.0
1016,Auction 110,0.0,0.0,1.0
1017,Supply Chain Constraints,0.0,0.0,2.0
1018,Dividend Cut,0.0,0.0,1.0
1019,Insurance Rates,1.0,0.0,0.0
1020,CEO,1.0,2.0,1.0
1021,Government Policy,1.0,0.0,0.0
1022,Insurance,1.0,0.0,0.0
1023,Product Recalls,0.0,0.0,2.0
1024,Supply and Demand Dynamics,0.0,1.0,0.0
1025,Raw Material Costs,0.0,2.0,4.0
1026,Currency Fluctuations,0.0,1.0,5.0
1027,Geographical Diversity,0.0,1.0,0.0
1028,Project Delays,0.0,0.0,1.0
1029,Cost Overruns,0.0,0.0,1.0
1030,Political Uncertainty,0.0,0.0,1.0
1031,Mining,1.0,0.0,0.0
1032,PC Demand,1.0,0.0,0.0
1033,Commercial Strength,1.0,0.0,0.0
1034,Enterprise Recovery,1.0,0.0,0.0
1035,Client Mix,1.0,0.0,0.0
1036,EPS Beat,2.0,0.0,0.0
1037,Operating Beat,1.0,0.0,0.0
1038,ICAP Gains,1.0,0.0,0.0
1039,Tax Benefit,1.0,0.0,0.0
1040,Profit Growth,1.0,0.0,0.0
1041,Capital Structure,1.0,0.0,0.0
1042,Intrinsic Value,1.0,0.0,0.0
1043,Leverage Ratio,1.0,2.0,0.0
1044,Channel Performance,0.0,1.0,0.0
1045,Stock Based Compensation,0.0,1.0,0.0
1046,SG&A Cost Control,1.0,0.0,0.0
1047,Capex,1.0,14.0,4.0
1048,Capital Efficiency,1.0,1.0,0.0
1049,Capital Discipline,1.0,0.0,0.0
1050,Emissions Reduction,3.0,0.0,0.0
1051,Earnings Beat,8.0,0.0,0.0
1052,Market Expectations,2.0,2.0,5.0
1053,Raw Material Shortages,0.0,0.0,1.0
1054,Inventory Levels,0.0,0.0,1.0
1055,Volume Increase,0.0,2.0,0.0
1056,Earnings Decline,0.0,0.0,1.0
1057,Corporate Expenses,0.0,1.0,1.0
1058,Rigid Packaging Performance,0.0,0.0,1.0
1059,Open Banking,1.0,0.0,0.0
1060,Digital Identity,1.0,0.0,0.0
1061,Transaction/Loan Losses,0.0,0.0,1.0
1062,Tax Rate Impact,0.0,0.0,1.0
1063,Estimates,1.0,0.0,1.0
1064,Customer Centricity,1.0,0.0,0.0
1065,Cost Inflation Pricing,0.0,1.0,0.0
1066,Earnings Performance,7.0,0.0,0.0
1067,Product Mix,2.0,0.0,1.0
1068,Margin Protection,1.0,0.0,0.0
1069,P&L Management,1.0,0.0,0.0
1070,Segment Performance,1.0,0.0,2.0
1071,Business Strategy,2.0,1.0,0.0
1072,Therapeutic,2.0,0.0,0.0
1073,Drug-drug Interactions,0.0,0.0,1.0
1074,High-risk Population,0.0,0.0,1.0
1075,Legislation,0.0,0.0,1.0
1076,Drug Pricing,0.0,0.0,1.0
1077,Treatment Side Effects,0.0,0.0,1.0
1078,Estimate Revisions,0.0,0.0,2.0
1079,Digital Business,1.0,0.0,0.0
1080,Non-Food Sales Growth,1.0,0.0,0.0
1081,Ancillary Sales Growth,1.0,0.0,1.0
1082,Full-price Sales,1.0,0.0,0.0
1083,Product Costs,0.0,0.0,2.0
1084,Shareholder Returns,3.0,0.0,0.0
1085,Tax Stability Agreements,3.0,0.0,0.0
1086,Stocks,1.0,0.0,0.0
1087,Customer Protection,2.0,0.0,1.0
1088,Cryptocurrency Integration,2.0,0.0,0.0
1089,Small Business Impact,0.0,0.0,1.0
1090,Fintech Growth,1.0,0.0,0.0
1091,Digital Channels,4.0,0.0,0.0
1092,Debt Capital Markets,1.0,0.0,0.0
1093,FICC Performance,0.0,0.0,1.0
1094,Equities Trading,0.0,0.0,2.0
1095,Trading Fees,0.0,0.0,1.0
1096,Funding Costs,0.0,0.0,1.0
1097,Cross-border Travel,1.0,1.0,0.0
1098,International Transaction Fees,0.0,1.0,0.0
1099,Revenue Acceleration,2.0,0.0,0.0
1100,Free Cash Flow Growth,1.0,1.0,0.0
1101,Payment Volume Growth,1.0,0.0,0.0
1102,Client Incentives,0.0,1.0,0.0
1103,EPS Guidance,0.0,0.0,1.0
1104,Margin Impact,0.0,0.0,1.0
1105,Datacenter Demand,2.0,0.0,0.0
1106,PC Client Normalization,0.0,0.0,1.0
1107,Conservatism,1.0,0.0,0.0
1108,Enterprise End-Markets,1.0,0.0,0.0
1109,Capex Outlook,0.0,1.0,0.0
1110,Demand Environment,1.0,0.0,0.0
1111,Long-term Roadmap,1.0,0.0,0.0
1112,Volume Guidance,0.0,0.0,1.0
1113,Capex Budget,0.0,1.0,0.0
1114,Dividend Increase,1.0,0.0,0.0
1115,Balance Sheet Flexibility,1.0,0.0,0.0
1116,Dividend Growth Potential,1.0,0.0,0.0
1117,Earnings Concerns,0.0,0.0,1.0
1118,Capital Constraints,0.0,1.0,0.0
1119,Pipeline Success,1.0,0.0,0.0
1120,Risk/Reward Opportunities,1.0,0.0,0.0
1121,Stock Volatility,0.0,1.0,0.0
1122,FCF,0.0,2.0,1.0
1123,Sales Data,0.0,1.0,0.0
1124,Price Discount,0.0,0.0,1.0
1125,YouTube Performance,0.0,1.0,0.0
1126,Market-P/E,0.0,1.0,0.0
1127,Industry Growth Concerns,0.0,0.0,1.0
1128,Search Performance,1.0,0.0,0.0
1129,Cloud Growth,1.0,0.0,0.0
1130,Price/Mix,22.0,5.0,0.0
1131,Sales Portfolio,2.0,0.0,0.0
1132,Value Growth,1.0,0.0,0.0
1133,Senior Management,1.0,0.0,0.0
1134,Share Price,0.0,1.0,0.0
1135,Currency Impact,0.0,2.0,7.0
1136,Promotional Environment,0.0,0.0,2.0
1137,Unit Case Volume,0.0,2.0,0.0
1138,Tax Dispute,0.0,0.0,1.0
1139,Margin De-leverage,0.0,0.0,1.0
1140,Inflationary Headwinds,0.0,0.0,1.0
1141,Volume Losses,0.0,0.0,1.0
1142,FX Movements,0.0,0.0,1.0
1143,Earnings Revisions,0.0,0.0,1.0
1144,Health and Wellness,0.0,0.0,1.0
1145,Autonomous Vehicles,2.0,0.0,0.0
1146,Funding,1.0,0.0,0.0
1147,Ride-sharing,1.0,0.0,0.0
1148,Pension Obligations,1.0,0.0,0.0
1149,Global Performance,5.0,0.0,0.0
1150,U.S. Performance,0.0,1.0,0.0
1151,Monetization,0.0,0.0,1.0
1152,Platform Shift,0.0,0.0,1.0
1153,Regulatory Intervention,1.0,0.0,0.0
1154,Metaverse,1.0,0.0,0.0
1155,Operating Environment,0.0,0.0,1.0
1156,Recovery,1.0,0.0,1.0
1157,Social Commerce,1.0,0.0,0.0
1158,Risk Mitigation,1.0,0.0,0.0
1159,EV Ramp-up,1.0,0.0,1.0
1160,EV Profitability,1.0,0.0,1.0
1161,Cruise Spin-off,0.0,1.0,0.0
1162,Talent Retention,1.0,0.0,0.0
1163,Outlook Confidence,1.0,0.0,0.0
1164,Supply Commitments,1.0,0.0,0.0
1165,Demand Strength,1.0,0.0,0.0
1166,Battery Cost,1.0,0.0,0.0
1167,AV Deployment,1.0,0.0,0.0
1168,2022 Outlook,1.0,0.0,0.0
1169,Guidance Comparison,1.0,0.0,0.0
1170,EBITDA Outlook,1.0,1.0,0.0
1171,EPS Outlook,0.0,1.0,0.0
1172,Leverage Target,0.0,1.0,0.0
1173,Volume Leverage,2.0,0.0,0.0
1174,Earnings Flexibility,1.0,0.0,0.0
1175,Dividend Management,1.0,0.0,0.0
1176,Margin Improvement,3.0,0.0,1.0
1177,Commodities Impact,0.0,0.0,2.0
1178,Labor Costs,1.0,0.0,2.0
1179,Price Shock Absorber,1.0,0.0,0.0
1180,Grocery Sales,1.0,0.0,0.0
1181,General Merchandise Sales,0.0,1.0,0.0
1182,Health and Wellness Sales,0.0,0.0,1.0
1183,Stimulus Impact,1.0,0.0,0.0
1184,IPO,0.0,1.0,0.0
1185,New Initiatives,0.0,0.0,1.0
1186,Conversion Rates,0.0,0.0,1.0
1187,Annual Subscription,0.0,0.0,1.0
1188,Revenue Upside,0.0,0.0,1.0
1189,Wages,0.0,0.0,2.0
1190,COVID Costs,0.0,0.0,1.0
1191,Global Supply Chain,0.0,0.0,1.0
1192,Gaming Performance,2.0,0.0,0.0
1193,Supply Chain Dynamics,0.0,1.0,0.0
1194,Product Upgrade,1.0,0.0,0.0
1195,CapEx,0.0,1.0,0.0
1196,Total Addressable Market,2.0,0.0,0.0
1197,Operating Margin Return on Investment,0.0,0.0,1.0
1198,Legacy Liabilities,0.0,0.0,1.0
1199,Range Bound,0.0,1.0,0.0
1200,Specialization,1.0,0.0,0.0
1201,Electric Vehicles,5.0,0.0,2.0
1202,Market Value,0.0,1.0,0.0
1203,Enterprise Value,0.0,1.0,0.0
1204,Credit Business,0.0,1.0,0.0
1205,Book Value,1.0,1.0,0.0
1206,Auto Business,0.0,1.0,0.0
1207,EBIT Losses,0.0,0.0,1.0
1208,Mobility,0.0,1.0,0.0
1209,Model e,0.0,0.0,1.0
1210,Blue,0.0,1.0,0.0
1211,Stake in Argo,1.0,0.0,0.0
1212,BEVs Progress,1.0,0.0,0.0
1213,Variable Contribution Margin,0.0,0.0,1.0
1214,Advertising Expense,0.0,1.0,0.0
1215,IT,0.0,1.0,0.0
1216,Human Resources,0.0,1.0,0.0
1217,Fashion Trends,0.0,0.0,2.0
1218,Apparel Recovery,0.0,0.0,2.0
1219,Supply Chain Congestion,0.0,0.0,1.0
1220,Customer Spending,0.0,0.0,2.0
1221,AI Technology,2.0,0.0,0.0
1222,Predictive Analytics,2.0,0.0,0.0
1223,Workflow Management,2.0,0.0,0.0
1224,Data Management,6.0,1.0,0.0
1225,Predictability,4.0,0.0,0.0
1226,Artificial Intelligence,6.0,0.0,0.0
1227,Enterprise Software,3.0,0.0,0.0
1228,Sales,2.0,2.0,0.0
1229,Customer Data,4.0,0.0,0.0
1230,Revenue Forecasting,1.0,0.0,0.0
1231,Control,1.0,0.0,0.0
1232,Revenue Models,1.0,0.0,0.0
1233,Database Structures,0.0,1.0,0.0
1234,Software Flexibility,1.0,0.0,0.0
1235,Custom Software Development,0.0,0.0,1.0
1236,Vertical Expansion,1.0,0.0,0.0
1237,Target Market,0.0,1.0,0.0
1238,R&D Focus,1.0,0.0,0.0
1239,API Testing,0.0,1.0,0.0
1240,R&D,1.0,0.0,0.0
1241,Best Practices,1.0,0.0,0.0
1242,Product Lifecycle Management,2.0,0.0,0.0
1243,Data & Analytics,3.0,0.0,0.0
1244,Business Model,2.0,0.0,0.0
1245,Premium Franchise,1.0,0.0,0.0
1246,Sales Execution,1.0,0.0,0.0
1247,Demand for Digital Marketing Solutions,1.0,0.0,0.0
1248,Revenue Forecast,8.0,4.0,9.0
1249,NIKE Direct,0.0,0.0,1.0
1250,Digital Retail Channels,0.0,0.0,1.0
1251,Physical Retail Channels,0.0,1.0,1.0
1252,Lockdowns,0.0,0.0,1.0
1253,Supply Delays,0.0,0.0,1.0
1254,Product Launches,0.0,0.0,1.0
1255,Data Center,1.0,0.0,0.0
1256,Revenue Diversification,1.0,0.0,0.0
1257,Customer Concentration,0.0,1.0,0.0
1258,Revenue Estimates,1.0,0.0,0.0
1259,Catalysts,3.0,0.0,0.0
1260,Growth Objectives,0.0,1.0,0.0
1261,Technology Risks,0.0,0.0,2.0
1262,Strategic Decisions,0.0,0.0,1.0
1263,Maintenance Effects,0.0,0.0,2.0
1264,Derivatives Impact,0.0,1.0,0.0
1265,Price Volatility,0.0,0.0,2.0
1266,Crack Spreads,1.0,0.0,0.0
1267,Margin Forecast,0.0,0.0,2.0
1268,Return of Capital,3.0,1.0,0.0
